NIT Proveedor,Proveedor, Fecha,Hora Pico,Trafco_Internacional,Trafico_Datos_NAPs,Trafico_Datos_Peering_Directo,Trafico_Datos_Local,Trafico_Datos_Total_Dia
830016046,AVANTEL,6/3/2020,22:00,0.0199,74759102,43496201,0,"198037,81"
830016046,AVANTEL,6/4/2020,22:00,0.0199,73995098,42908398,0,"197228,09"
830016046,AVANTEL,6/5/2020,22:00,0.0299,73231201,4527.02,0,"198569,88"
830016046,AVANTEL,6/6/2020,22:00,0.0199,7829.27,42626001,0,"191763,23"
830016046,AVANTEL,6/7/2020,22:00,0.0199,74766001,44081699,0,"199560,05"
830016046,AVANTEL,6/8/2020,22:00,0.0599,75453901,4187.04,0,"193543,66"
830016046,AVANTEL,6/9/2020,22:00,0.0199,75163398,43325801,0,"198334,84"
830016046,AVANTEL,6/10/2020,22:00,0.0199,75865298,4373.04,0,"201379,08"
830016046,AVANTEL,6/11/2020,22:00,0.0199,77753999,43306899,0,"208491,8"
830016046,AVANTEL,6/12/2020,22:00,0.0199,77493799,42669399,0,"204269,55"
830016046,AVANTEL,6/13/2020,22:00,0.0099,75831401,42248398,0,"198546,97"
830016046,AVANTEL,6/14/2020,22:00,0.0099,77568701,42408599,0,"187778,45"
830016046,AVANTEL,6/15/2020,22:00,0.0399,76520698,44551899,0,"196592,64"
830016046,AVANTEL,6/16/2020,22:00,0.0199,73418599,42850498,0,"194669,19"
830016046,AVANTEL,6/17/2020,22:00,0.0399,76419199,44492798,0,"203511,45"
830016046,AVANTEL,6/18/2020,22:00,0.0199,76978799,44928398,0,"204813,7"
830016046,AVANTEL,6/19/2020,22:00,0.0399,75575601,44363701,0,"204627,53"
830016046,AVANTEL,6/20/2020,22:00,0.0099,7771.98,44992598,0,"203562,48"
830016046,AVANTEL,6/21/2020,22:00,0.0199,7449.25,44653901,0,"202361,23"
830016046,AVANTEL,6/22/2020,22:00,0.0299,77785898,45915801,0,"201775,52"
830016046,AVANTEL,6/23/2020,22:00,0.0399,7517.77,43936001,0,"198569,8"
830016046,AVANTEL,6/24/2020,22:00,0.07,74846001,44837402,0,"196509,23"
830016046,AVANTEL,6/25/2020,22:00,0.1099,7182.29,45155601,0,"199560,08"
830016046,AVANTEL,6/26/2020,22:00,0.0599,65162598,38076201,0,"199104,97"
